city,county
Harringworth,Northamptonshire
Quethiock,Cornwall
Trentham,Staffordshire
Croxton,North Lincolnshire
Killough,"Newry, Mourne and Down"
Wick Saint Lawrence,North Somerset
Hannington,Hampshire
Cundall,North Yorkshire
Dowlais,Merthyr Tydfil
Brechfa,Carmarthenshire
Shere,Surrey
Willingham,Cambridgeshire
Kemble,Gloucestershire
Croachy,Highland
Pitfichie,Aberdeenshire
Henwick,Worcestershire
Easter Elchies,Moray
Mugginton,Derbyshire
Drymen,Stirling
Cadderlie,Argyll and Bute
Abereiddy,Pembrokeshire
Waterhouses,Staffordshire
Brough,Highland
Wendover,Buckinghamshire
Carronbridge,Dumfries and Galloway
Crown Hill,Plymouth
Monkstadt,Highland
Bockleton,Worcestershire
Little Raveley,Cambridgeshire
Pyle,Bridgend
Reculver,Kent
Cornisholme,Lincolnshire
Butterleigh,Devon
Buckhaven and Methil,Fife
Bartley,Hampshire
Crosskirk,Highland
Peatling Magna,Leicestershire
Blythburgh,Suffolk
Feshiebridge,Highland
Flimston,Pembrokeshire
Whithorn,Dumfries and Galloway
Kirknewton,West Lothian
Spanby,Lincolnshire
Thame,Oxfordshire
Rhoscrowther,Pembrokeshire
South Lopham,Norfolk
Swainby,North Yorkshire
Stonesby,Leicestershire
Beeford,East Riding of Yorkshire
Marrick,North Yorkshire
Hindringham,Norfolk
Croft,Warrington
Milton,East Dunbartonshire
Coignashie,Highland
Thundersley,Essex
East Saltoun,East Lothian
Eaton Bray,Central Bedfordshire
Hutton Henry,Durham
Heysham,Lancashire
Crundale,Kent
Brockagh,Mid Ulster
Wellesbourne Mountford,Warwickshire
Herbrandston,Pembrokeshire
Sandside,Cumbria
Chelmorton,Derbyshire
Chawton,Hampshire
Kingston Bagpuze,Oxfordshire
Castle Bytham,Lincolnshire
Abbotsbury,Dorset
Raemoir,Aberdeenshire
Woodborough,Nottinghamshire
Caxton,Cambridgeshire
Cargan,Mid and East Antrim
Stoke Rivers,Devon
Chinley,Derbyshire
Grantshouse,"Scottish Borders, The"
Wollaston,Shropshire
Annacloy,"Newry, Mourne and Down"
Strathcarron,Highland
North Mundham,West Sussex
Ambleston,Pembrokeshire
Fernhurst,West Sussex
Saint Marys,Orkney Islands
Burgh next Aylsham,Norfolk
Chisledon,Swindon
Pimperne,Dorset
Sudbury,Ealing
Kirtlebridge,Dumfries and Galloway
Shandon,Argyll and Bute
Meikle Wartle,Aberdeenshire
Nottage,Bridgend
Austrey,Warwickshire
Weston,Halton
Longney,Gloucestershire
Kingsley,Cheshire West and Chester
Nantlle,Gwynedd
Newenden,East Sussex
Aislaby,North Yorkshire
Skegoniel,Belfast
Burnham,Buckinghamshire
Skinburness,Cumbria
Bower Chalke,Wiltshire
Low Street,Thurrock
Wrea Green,Lancashire
Hadlow,Kent
Brynmawr,Blaenau Gwent
Everingham,East Riding of Yorkshire
Corsock,Dumfries and Galloway
Groeslon,Gwynedd
Kingston Seymour,North Somerset
Besford,Worcestershire
Callander,Stirling
Aldworth,West Berkshire
Finmere,Buckinghamshire
North Waltham,Hampshire
Camerton,Bath and North East Somerset
Stebbligrind,Shetland Islands
Tyrie Mains,Aberdeenshire
Boreland of Colvend,Dumfries and Galloway
Trowell,Derbyshire
Maesbury,Shropshire
Wistanstow,Shropshire
Etruria,Stoke-on-Trent
Luskentyre,Eilean Siar
Lochinver,Highland
Monkton Heathfield,Somerset
East Farleigh,Kent
Lilstock,Somerset
Toft next Newton,Lincolnshire
Seal,Kent
Crocketford,Dumfries and Galloway
Temple Guiting,Gloucestershire
Bromsgrove,Worcestershire
Ingatestone,Essex
Irvinestown,Fermanagh and Omagh
Ashington,Northumberland
Nettlebed,Oxfordshire
Hove,Brighton and Hove
Tipton,Dudley
Poynings,West Sussex
Womersley,North Yorkshire
Bradfield,Sheffield
Cargo Fleet,Middlesbrough
Elmers End,Bromley
Marthall,Cheshire East
Marton,Lancashire
Coed-Talon,Flintshire
Keisby,Lincolnshire
Raughton,Cumbria
Wingfield,Wiltshire
Duffryn,Newport
Holmpton,East Riding of Yorkshire
Horsell,Surrey
Mynachlogddu,Pembrokeshire
Tonyrefail,Rhondda Cynon Taff
Ragdale,Leicestershire
Frome,Somerset
Snarestone,Leicestershire
Harthill,Rotherham
Haverton Hill,Stockton-on-Tees
Instow,Devon
Piddington,Northamptonshire
Northington,Hampshire
Alvanley,Cheshire West and Chester
Garbat,Highland
Wold Newton,East Riding of Yorkshire
Holborn,Camden
Lessingham,Norfolk
Stainforth,Doncaster
Kirkby Grindalythe,North Yorkshire
Seisdon,Staffordshire
Logierait,Perth and Kinross
Hawen,Ceredigion
North Cerney,Gloucestershire
Ponthir,Torfaen
Seafield,"Edinburgh, City of"
Aberaman,Rhondda Cynon Taff
Hundred House,Powys
Knockcloghrim,Mid Ulster
Ashmanhaugh,Norfolk
Poughill,Cornwall
Woolley,Wakefield
Kerne Bridge,Herefordshire
Whatstandwell,Derbyshire
Cheriton Bishop,Devon
Grendon,Northamptonshire
Kington Saint Michael,Wiltshire
Croxley Green,Hertfordshire
Old Monkland,North Lanarkshire
Broughton,Hampshire
Donisthorpe,Leicestershire
Parton,Dumfries and Galloway
Newburn,Gateshead
Blackford,Somerset
Kinawley,Fermanagh and Omagh
Carsphairn,Dumfries and Galloway
Chorleywood West,Hertfordshire
Higher Bebington,Wirral
Beckermet,Cumbria
Winson,Gloucestershire
Purston Jaglin,Wakefield
Sawtry,Cambridgeshire
Fortrose,Highland
Kilmorack,Highland
Badger,Shropshire
Kingswood Warren,Surrey
Tillyfour,Aberdeenshire
Barnby Dun,Doncaster
Tythegston,Bridgend
Ulleskelf,North Yorkshire
Mickley,Northumberland
Aston Ingham,Gloucestershire
Shap,Cumbria
Burton upon Trent,Staffordshire
Beaumaris,Isle of Anglesey
Hougharry,Eilean Siar
Castle Douglas,Dumfries and Galloway
Harrowden,Northamptonshire
Mangaster,Shetland Islands
Fearby,North Yorkshire
Woolverstone,Suffolk
Abbey Saint Bathans,"Scottish Borders, The"
Little Oakley,Essex
Leckhampton,Gloucestershire
Marlingford,Norfolk
Clackmannan,Clackmannanshire
Hellingly,East Sussex
Winsford,Somerset
Swanwick,Derbyshire
Wetheringsett,Suffolk
Little Barrington,Gloucestershire
Tresmeer,Cornwall
Aberporth,Ceredigion
Eskdalemuir,Dumfries and Galloway
Desford,Leicestershire
Datchet,Windsor and Maidenhead
Strines,Stockport
Ball,Shropshire
Shingay,Cambridgeshire
Yiewsley,Hillingdon
Little Torrington,Devon
Alsop en le Dale,Derbyshire
Westerfield,Suffolk
Clee Saint Margaret,Shropshire
Enborne,West Berkshire
Gotham,Nottinghamshire
Bannockburn,Stirling
Mexborough,Doncaster
Castle Eaton,Swindon
Washington,West Sussex
Staverton,Gloucestershire
Icklingham,Suffolk
Kinclaven,Perth and Kinross
Saffron Walden,Essex
Dorrington,Lincolnshire
Crook,Durham
Halloughton,Nottinghamshire
Bernera,Highland
Clawddnewydd,Denbighshire
Maxton,"Scottish Borders, The"
Henfynyw Upper,Ceredigion
Church End,Gloucestershire
Llanrhystyd,Ceredigion
Garvagh,Causeway Coast and Glens
Marsham,Norfolk
Treswell,Nottinghamshire
Leyland,Lancashire
Nunney,Somerset
Southbourne,West Sussex
Brandsby,North Yorkshire
Fenay Bridge,Kirklees
Alva,Clackmannanshire
Methley,Leeds
North Petherwin,Cornwall
Tutbury,Staffordshire
Plowden,Shropshire
Lamesley,Gateshead
Bronant,Ceredigion
Thursby,Cumbria
Mawnan,Cornwall
Church Handborough,Oxfordshire
Bonchurch,Isle of Wight
Bexleyheath,Bexley
Llanstadwell,Pembrokeshire
Pilning,South Gloucestershire
Duffryn,"Vale of Glamorgan, The"
Belton,Leicestershire
Newton on Trent,Nottinghamshire
Sandgate,Kent
Broxted,Essex
Brignall,Durham
Yeovil,Somerset
Gedney Hill,Lincolnshire
Oak Hangar,Hampshire
Bearley,Warwickshire
Lackford,Suffolk
Normanton,Lincolnshire
Knockholt,Kent
Cross in Hand,East Sussex
Newton,Lincolnshire
Dibidil,Highland
Whitestone,Devon
Warton,Lancashire
Cardeston,Shropshire
Beach,Argyll and Bute
Corscombe,Dorset
Pen-y-Bont ar Ogwr,Bridgend
Kinuachdrachd,Argyll and Bute
Wrangaton,Devon
Martletwy,Pembrokeshire
Allendale Town,Northumberland
Ballinderry Lower,Lisburn and Castlereagh
Sherborne Saint John,Hampshire
Colston Bassett,Nottinghamshire
Rackenford,Devon
Gosport,Hampshire
Legbourne,Lincolnshire
Barmer,Norfolk
Fairmile,Surrey
Sarnau,Carmarthenshire
Morvil,Pembrokeshire
Lissett,East Riding of Yorkshire
Upper Sundon,Central Bedfordshire
Norton,Kent
Rake,West Sussex
Knossington,Leicestershire
Belstone,Devon
Newton,Argyll and Bute
Thockrington,Northumberland
Little Witcombe,Gloucestershire
Newgate Street,Hertfordshire
Carlton Colville,Suffolk
East Knoyle,Wiltshire
Badcaul,Highland
Sourlies,Highland
Wooler,Northumberland
Achness,Highland
Broom,Warwickshire
Frith Bank,Lincolnshire
Lavenham,Suffolk
West Hagbourne,Oxfordshire
Gestingthorpe,Essex
Plumpton,Lancashire
Newbridge,Caerphilly
East Garston,West Berkshire
Dron,Perth and Kinross
Sturminster Newton,Dorset
Neenton,Shropshire
Ashmansworth,Hampshire
Gumfreston,Pembrokeshire
Henwood,Cornwall
Seaton Ross,East Riding of Yorkshire
Rainham,Medway
West Thurrock,Thurrock
Caulderton,Cumbria
Llanwnda,Pembrokeshire
Llanpumsaint,Carmarthenshire
Ironbridge,Telford and Wrekin
Kirkham,North Yorkshire
Galston,East Ayrshire
Parwich,Derbyshire
Birstall,Kirklees
Soulbury,Buckinghamshire
Sundridge,Kent
Inverfarigaig,Highland
Woofferton,Herefordshire
Easter Compton,South Gloucestershire
Bolton,Bolton
Hilsea,Portsmouth
Newchurch,Kent
Lowdham,Nottinghamshire
Dalsetter,Shetland Islands
Cladich,Argyll and Bute
Pailton,Warwickshire
Wednesbury,Sandwell
Axford,Hampshire
Steynton,Pembrokeshire
Ruckland,Lincolnshire
Clayton le Moors,Lancashire
Baystonhill,Shropshire
Seskinore,Fermanagh and Omagh
Hope,Derbyshire
Downend,Isle of Wight
Rokeby,Durham
Eshton,North Yorkshire
Cilcennin,Ceredigion
East Molesey,Surrey
Hillington,Norfolk
Carndearg,Highland
Tetney,Lincolnshire
Kingsnorth,Kent
Branderburgh,Moray
Upchurch,Kent
Dunstall,Staffordshire
Ribigill,Highland
South Beach,Gwynedd
Halstead,Essex
Efailwen,Carmarthenshire
Hatfield,Doncaster
Downe,Bromley
Auchinblae,Aberdeenshire
Wigginton,York
Iwerne Courtney,Dorset
Halesowen,Dudley
Immingham,North East Lincolnshire
Hawkesbury,South Gloucestershire
Scapa,Orkney Islands
Hanley Castle,Worcestershire
Alverstone,Isle of Wight
Hele,Devon
Quenington,Gloucestershire
Horndon on the Hill,Thurrock
Strethall,Essex
Bletchley,Milton Keynes
Knowstone,Devon
Saltcoats,North Ayrshire
Horsham,West Sussex
Dingle,Liverpool
Merthyr,Carmarthenshire
Upton,Dorset
Snargate,Kent
Zeal Monachorum,Devon
Haddington,East Lothian
Cornholme,Calderdale
Mollington,Cheshire West and Chester
Newport,Pembrokeshire
Luffness,East Lothian
Nannerch,Flintshire
Baxenden,Lancashire
Golden Valley,Gloucestershire
Horton,Windsor and Maidenhead
Faccombe,Hampshire
Sapiston,Suffolk
Herne,Kent
Sacriston,Durham
Fushiebridge,Midlothian
Wenvoe,"Vale of Glamorgan, The"
Walford,Herefordshire
Cultra,Ards and North Down
Clifton,Derbyshire
Fintry,Stirling
Picklescott,Shropshire
Welton,East Riding of Yorkshire
Lochwinnoch,Renfrewshire
Lochend,Dumfries and Galloway
Amber Hill,Lincolnshire
Wroxall,Isle of Wight
Ardvasar,Highland
Heacham,Norfolk
Long Burton,Dorset
Llandyrnog,Denbighshire
Kenton,Devon
Chedworth,Gloucestershire
Hollinwood,Oldham
Shotesham All Saints,Norfolk
Moira,Leicestershire
Chesterblade,Somerset
Elphin,Highland
Claythorpe,Lincolnshire
North Leigh,Oxfordshire
Cemmaes Road,Powys
Tidmarsh,West Berkshire
Waringstown,"Armagh, Banbridge and Craigavon"
Ashford,Surrey
Middle Street,Essex
Saint Austell,Cornwall
Guilden Morden,Cambridgeshire
Morningside,North Lanarkshire
Stone,Worcestershire
New Abbey,Dumfries and Galloway
Langley Mill,Derbyshire
Romaldkirk,Durham
West Lutton,North Yorkshire
Greenhow Hill,North Yorkshire
Melbourne,Derbyshire
Crosshill,South Ayrshire
Coelbren,Powys
Linley,Shropshire
Strathaven,South Lanarkshire
Keiss,Highland
Boothby Graffoe,Lincolnshire
Hollinsclough,Staffordshire
Cuddington,Cheshire West and Chester
Ardrossan,North Ayrshire
Crawton,Aberdeenshire
Caverswall,Staffordshire
Idle,Bradford
Sandringham,Norfolk
Wantage,Oxfordshire
Trotton,West Sussex
Modbury,Devon
Fressingfield,Suffolk
Cherington,Gloucestershire
Sarre,Kent
Itchen Abbas,Hampshire
Hethersett,Norfolk
Belton,Rutland
Monk Sherborne,Hampshire
Wilden,Bedford
Longport,Staffordshire
Leigh,Kent
Strontian,Highland
Ippollitts,Hertfordshire
Waterrow,Somerset
New Castle,Monmouthshire
Cheadle Hulme,Stockport
Bredenbury,Herefordshire
Rowlstone,Herefordshire
Letcombe Bassett,Oxfordshire
Dousland,Devon
Llanegwad,Carmarthenshire
Gwinear,Cornwall
Worplesdon,Surrey
Towyn,Gwynedd
Annalong,"Newry, Mourne and Down"
Chipping Warden,Northamptonshire
North Creake,Norfolk
Oulston,North Yorkshire
Glasson,Cumbria
Linlithgow,West Lothian
Portobello,"Edinburgh, City of"
Berrow,Somerset
Nutley,Hampshire
Thaxted,Essex
Bradford,Somerset
Burnham Thorpe,Norfolk
Clarencefield,Dumfries and Galloway
Ettrickbridge End,"Scottish Borders, The"
Ousefleet,East Riding of Yorkshire
Cascob,Powys
Ardverikie,Highland
Achany,Highland
Goldsborough,North Yorkshire
Erwarton,Suffolk
Chilgrove,West Sussex
Henllan,Denbighshire
Fyling Thorpe,North Yorkshire
Lostock Gralam,Cheshire West and Chester
Whitehead,Mid and East Antrim
Colton,Norfolk
London Colney,Hertfordshire
West Walton,Norfolk
Charney Basset,Oxfordshire
Gosfield,Essex
Pettinain,South Lanarkshire
Woodborough,Wiltshire
Liston,Essex
Bromfield,Shropshire
Terreglestown,Dumfries and Galloway
Ardtoe,Highland
Wingham,Kent
Sherborne,Dorset
Grainthorpe,Lincolnshire
Dull,Perth and Kinross
Culross,Fife
Singleton,West Sussex
Woodchester,Gloucestershire
Winterborne Kingston,Dorset
Shouldham,Norfolk
Hillesley,Gloucestershire
Great Longstone,Derbyshire
Lynmouth,Devon
Halifax,Calderdale
Terrington,North Yorkshire
Addington,Croydon
Loxwood,West Sussex
Acheninver,Highland
Nairn,Highland
Bucklesham,Suffolk
Bolam,Northumberland
Mottram,Tameside
High Smerby,Argyll and Bute
Wisley,Surrey
Kemnay,Aberdeenshire
Hornby,North Yorkshire
Alltsigh,Highland
Washfield,Devon
Amulree,Perth and Kinross
Stone,Gloucestershire
Eastnor,Herefordshire
Blackburn,Aberdeenshire
Newtownstewart,Derry and Strabane
Watchet,Somerset
Saul,"Newry, Mourne and Down"
Whimple,Devon
Cromdale,Highland
Brading,Isle of Wight
London,"London, City of"
Witchingham,Norfolk
Belsay,Northumberland
Lulsgate Bottom,North Somerset
Upper Somborne,Hampshire
Machen,Caerphilly
Lundin Links,Fife
Guisborough,Redcar and Cleveland
Inveraray,Argyll and Bute
Shafton,Barnsley
Pollokshaws,East Renfrewshire
Upper Hambleton,Rutland
Cwm-coy,Ceredigion
Wootton Courtenay,Somerset
Ashton in Makerfield,Wigan
Feniscowles,Blackburn with Darwen
Cuddington,Buckinghamshire
Stourport,Worcestershire
Dowally,Perth and Kinross
Handley,Dorset
Lolworth,Cambridgeshire
Exning,Suffolk
Somersham,Suffolk
Brighton,Brighton and Hove
Ystrad-Meurig,Ceredigion
Kirby Muxloe,Leicestershire
East Stockwith,Nottinghamshire
Bualintur,Highland
Harrow,Harrow
Achurch,Northamptonshire
Urchfont,Wiltshire
Achnacroish,Highland
Knock,Eilean Siar
Balderstone,Lancashire
Gorseinon,Swansea
Great Harwood,Lancashire
Findon,West Sussex
Bardsey,Leeds
Thornton,North Yorkshire
Fornham Saint Martin,Suffolk
Pharis,Causeway Coast and Glens
Wickham,Hampshire
South Ockendon,Thurrock
Upton,Oxfordshire
Maer,Staffordshire
Strood,Medway
Rimswell,East Riding of Yorkshire
Roybridge,Highland
Llawhaden,Pembrokeshire
Blackbushes,Hampshire
Upper Derraid,Highland
Chard,Somerset
Bardsea,Cumbria
Cottenham,Cambridgeshire
Sampford Spiney,Devon
Martin,Lincolnshire
Newchurch,Powys
Llanmiloe,Carmarthenshire
Martin,Kent
Houston,Renfrewshire
Fern Down,Dorset
Brigg,North Lincolnshire
West Stoke,West Sussex
Cefn Cribwr,Bridgend
Esgair,Carmarthenshire
South Milton,Devon
North Fambridge,Essex
Gortnessy,Derry and Strabane
Delamere,Cheshire West and Chester
Arbroath,Angus
Hawridge,Buckinghamshire
Little Wittenham,Oxfordshire
Thringstone,Leicestershire
Llangelynin,Gwynedd
Cromer,Norfolk
Claughton,Lancashire
Blaenwaun,Carmarthenshire
Mautby,Norfolk
Nether Cerne,Dorset
Saltford,Bath and North East Somerset
Saxby All Saints,North Lincolnshire
Barr,Argyll and Bute
Nympsfield,Gloucestershire
Hauxton,Cambridgeshire
Talbenny,Pembrokeshire
Threxton,Norfolk
Yelverton,Devon
Sandford,North Somerset
Banham,Norfolk
Earsham,Norfolk
Redhill,Surrey
Shenley,Hertfordshire
Lislane,Causeway Coast and Glens
Mere,Wiltshire
Hempnall,Norfolk
Itchenor,West Sussex
Bodham,Norfolk
Auchnafree,Perth and Kinross
Everleigh,Wiltshire
Alwalton,Peterborough
Cuffley,Hertfordshire
Wootton,Oxfordshire
Malborough,Devon
Upton Pyne,Devon
Llanfrothen,Gwynedd
Foxton,Leicestershire
Upper Kilchattan,Argyll and Bute
Braceborough,Lincolnshire
Elton,Stockton-on-Tees
Rawmarsh,Rotherham
Banchory Devenick,Aberdeenshire
Yatton,North Somerset
Leighterton,Gloucestershire
East Hanningfield,Essex
Chedzoy,Somerset
Long Stratton,Norfolk
Devizes,Wiltshire
Stanningfield,Suffolk
Ballogie,Aberdeenshire
Whitmore,Staffordshire
Alresford,Essex
Ardler,Perth and Kinross
Compton Abbas,Dorset
Boughton Aulph,Kent
Jameston,Pembrokeshire
Connahs Quay,Flintshire
Bredwardine,Herefordshire
Eglwys-fach,Ceredigion
Great Bolas,Telford and Wrekin
Garston,Hertfordshire
Glyncorrwg,Neath Port Talbot
Chipping Norton,Oxfordshire
North Burton,East Riding of Yorkshire
Middleton,Lancashire
Brookwood,Surrey
Aird Tong,Eilean Siar
Fritton,Norfolk
Calder Bridge,Cumbria
Carbrooke,Norfolk
Goffs Oak,Hertfordshire
Stoke Prior,Worcestershire
Monks Risborough,Buckinghamshire
Crantock,Cornwall
Crook,Cumbria
Evesbatch,Herefordshire
West Hallam,Derbyshire
Tarland,Aberdeenshire
Berkley,Somerset
Beedon,West Berkshire
Bobbington,Shropshire
Athnamulloch,Highland
Henlow,Central Bedfordshire
Halton,Buckinghamshire
Coreley,Shropshire
Sturton le Steeple,Nottinghamshire
Colton,Cumbria
Winwick,Cambridgeshire
Red Roses,Carmarthenshire
Cove,Highland
Fritham,Hampshire
Weston,Suffolk
Lamyatt,Somerset
Lydgate,Calderdale
Loughborough,Leicestershire
Morborne,Cambridgeshire
Tarporley,Cheshire West and Chester
Dervock,Causeway Coast and Glens
Northill,Central Bedfordshire
Lassington,Gloucestershire
Kings Bromley,Staffordshire
Crookham,Northumberland
Husthwaite,North Yorkshire
Penllech,Gwynedd
Newmains,North Lanarkshire
Evenjobb,Powys
Wolfhamcote,Warwickshire
Ketley,Telford and Wrekin
Tunstall,Lancashire
Milltimber,Aberdeen City
Ham,Shetland Islands
Llanfallteg,Carmarthenshire
Lamington,South Lanarkshire
Bishop Auckland,Durham
Chilton,Oxfordshire
Stewartstown,Mid Ulster
Harleston,Norfolk
Newbridge on Wye,Powys
Stanmore,Harrow
Dornoch,Highland
Woolverton,Somerset
Burwell,Lincolnshire
Tywardreath,Cornwall
Waresley,Cambridgeshire
Hermitage,West Berkshire
Nettleton,Lincolnshire
Wootton Bridge,Isle of Wight
Kirkmichael,Dumfries and Galloway
Long Clawson,Leicestershire
Bundalloch,Highland
Starcross,Devon
Pointon,Lincolnshire
Croasdale,Cumbria
Markfield,Leicestershire
White Notley,Essex
Little Steeping,Lincolnshire
Aveton Gifford,Devon
Barassie,South Ayrshire
Leckwith,"Vale of Glamorgan, The"
Carlton,Leicestershire
Bishops Waltham,Hampshire
Brill,Buckinghamshire
Aylesbeare,Devon
Ketteringham,Leicestershire
Warmingham,Cheshire East
Finaghy,Belfast
Ardnarff,Highland
Stokenham,Devon
Kingswood,Surrey
Bancffosfelen,Carmarthenshire
Thropton,Northumberland
Llansannan,Conwy
Saint Budeaux,Plymouth
Harpham,East Riding of Yorkshire
Coryton,Thurrock
Tolleshunt Major,Essex
Tegryn,Pembrokeshire
Crossens,Sefton
Torquay,Torbay
Colaton Raleigh,Devon
Seething,Norfolk
Hallen,South Gloucestershire
Inver,Aberdeenshire
Sutton on the Hill,Derbyshire
Rookhope,Durham
Redwick,Newport
Aird,Causeway Coast and Glens
Tighnabruaich,Argyll and Bute
Penffordd,Pembrokeshire
Plaidy,Aberdeenshire
Tettenhall,Wolverhampton
Wood Norton,Norfolk
Llanfihangel-uwch-Gwili,Carmarthenshire
Bayton,Worcestershire
Stair,East Ayrshire
Clayton,Barnsley
Drybeck,Cumbria
Broomfleet,East Riding of Yorkshire
Livingston,West Lothian
Keswick,Norfolk
Almondbury,Kirklees
Collieston,Aberdeenshire
Penycwm,Pembrokeshire
Mosedale,Cumbria
Layer Marney,Essex
Llangynog,Powys
Ainstable,Cumbria
Great Oxendon,Northamptonshire
Great Witcombe,Gloucestershire
Great Parndon,Essex
Busby,South Lanarkshire
Levisham,North Yorkshire
Ruyton of the Eleven Towns,Shropshire
Drumcard,Fermanagh and Omagh
Cloyfin,Causeway Coast and Glens
Hillhead,"Armagh, Banbridge and Craigavon"
Elsing,Norfolk
Brook,Isle of Wight
Chalbury,Dorset
Llangennith,Swansea
Quainton,Buckinghamshire
Ledbeg,Highland
Bradley,Kirklees
Blagdon,North Somerset
Friern Barnet,Barnet
Broad Oak,Herefordshire
Tisbury,Wiltshire
Ryhill,Wakefield
Llangower,Gwynedd
Boldre,Hampshire
West Horsley,Surrey
Morfa,Pembrokeshire
Ringstead,Northamptonshire
Bellabeg,Aberdeenshire
West Kilbride,North Ayrshire
Ripley,Hampshire
Ford,Northumberland
Walsall Wood,Walsall
Kyre Magna,Worcestershire
Godalming,Surrey
Newbigging,South Lanarkshire
Tetcott,Devon
Hume,"Scottish Borders, The"
Carnteel,Mid Ulster
Skinidin,Highland
Buckland,Gloucestershire
Rhosneigr,Isle of Anglesey
Fearnmore,Highland
Garway,Herefordshire
Henley,West Sussex
Hessay,York
East Stoke,Nottinghamshire
Bridge of Alford,Aberdeenshire
Kelso,"Scottish Borders, The"
Llanbedr-y-cennin,Conwy
Lexden,Essex
Peasemore,West Berkshire
New Herrington,Sunderland
Fazakerley,Liverpool
Lugar,East Ayrshire
Oulton,Cumbria
Egerton,Kent
Lagg,Argyll and Bute
Binfield,Bracknell Forest
Crookston,"Scottish Borders, The"
Ellough,Suffolk
Hanslope,Milton Keynes
Ingrave,Essex
Llanaber,Gwynedd
Largs,North Ayrshire
Alderton,Suffolk
Pulham,Norfolk
Belmaduthy,Highland
New Hunstanton,Norfolk
Little Chesterford,Essex
Four Ashes,Staffordshire
East Marden,West Sussex
Hoptonheath,Shropshire
Cotness Hall,East Riding of Yorkshire
Stuartfield,Aberdeenshire
Northwich,Cheshire West and Chester
Newent,Gloucestershire
Shirramore,Highland
Crooklands,Cumbria
Littleham,Devon
Newtyle,Angus
Theddlethorpe All Saints,Lincolnshire
Broxton,Cheshire West and Chester
Norham,Northumberland
Pitsford,Northamptonshire
Chitterne,Wiltshire
Marshbrook,Shropshire
Bierley,Bradford
Gunton,Suffolk
Humberstone,Leicester
Wombridge,Telford and Wrekin
Dersingham,Norfolk
Peanmeanach,Highland
Belmont,Blackburn with Darwen
Wincobank,Sheffield
Trelystan,Powys
Ryhall,Rutland
Brundall,Norfolk
Emborough,Somerset
Saughall,Cheshire West and Chester
Carperby,North Yorkshire
Askrigg,North Yorkshire
Thurlton,Norfolk
Aultnaharrie,Highland
Little Berkhampstead,Hertfordshire
Cliddesden,Hampshire
Ushaw Moor,Durham
Blyton,Lincolnshire
Compton Wyniates,Warwickshire
Marnhull,Dorset
Hendon,Barnet
Stivichall,Coventry
Moreton,Dorset
Stainburn,North Yorkshire
Rhos-Bayvil,Pembrokeshire
Aberchalder,Highland
Geary,Highland
Glenrossal,Highland
Doddenham,Worcestershire
North Kelsey,Lincolnshire
Kinnersley,Herefordshire
Balmedie,Aberdeenshire
Llangeitho,Ceredigion
Scawton,North Yorkshire
Lochboisdale,Eilean Siar
Great Asby,Cumbria
Thornton Watlass,North Yorkshire
Tolleshunt D'Arcy,Essex
Penkridge,Staffordshire
Comberton,Cambridgeshire
Helston,Cornwall
Kilsby,Northamptonshire
West Kames,Argyll and Bute
Hilgay,Norfolk
Auchterderran,Fife
Wichling,Kent
Whitechurch,Dorset
Annaside,Cumbria
Addington,Kent
High Newton,Cumbria
Hebden Bridge,Calderdale
Coalisland,Mid Ulster
Earl Sterndale,Derbyshire
Handsworth,Sheffield
Wigton,Cumbria
Aberdaron,Gwynedd
Thorpe Langton,Leicestershire
Inverlael,Highland
Llabedr-Dyffryn-Clwyd,Denbighshire
Adwick le Street,Doncaster
Oakley,Buckinghamshire
Milton,Northamptonshire
Wicken,Northamptonshire
Hoddesdon,Hertfordshire
Bentley,Doncaster
Scotch Street,"Armagh, Banbridge and Craigavon"
Newark upon Trent,Nottinghamshire
Constantine,Cornwall
Morton,South Gloucestershire
Eccles,Salford
Marchamley,Shropshire
Carnaquheen,Aberdeenshire
Culmaily,Highland
Netherwitton,Northumberland
Harlow Hill,Northumberland
Kinmuck,Aberdeenshire
Newton in Makerfield,St. Helens
Dalry,Dumfries and Galloway
Threshfield,North Yorkshire
Rawreth,Essex
Boscombe,Wiltshire
Sawdon,North Yorkshire
Swallownest,Rotherham
Powderham,Devon
Woodsford,Dorset
Atherington,Devon
Stopham,West Sussex
High Ongar,Essex
Welwick,East Riding of Yorkshire
Grasmere,Cumbria
Saint Erme,Cornwall
Flockton,Kirklees
Harkstead,Suffolk
Rossington,Doncaster
Nunwick,North Yorkshire
Mark Cross,East Sussex
Funzie,Shetland Islands
Aldermaston,West Berkshire
Kingsley,Staffordshire
Aylmerton,Norfolk
Moorside Edge,Kirklees
Hotham,East Riding of Yorkshire
Brighouse,Calderdale
Wotton,Surrey
Little Creich,Highland
Moseley,Birmingham
Warsop,Nottinghamshire
Swallowfield,Wokingham
Glanton,Northumberland
Ardno,Argyll and Bute
West Bedfont,Hounslow
Obbe,Eilean Siar
Flimby,Cumbria
Kinross,Perth and Kinross
Bullingham,Herefordshire
Worle,North Somerset
Hyde Park,Antrim and Newtownabbey
Feorlean,Argyll and Bute
Sandford Saint Martin,Oxfordshire
Earl Soham,Suffolk
Cwmpengraig,Carmarthenshire
Stanley,Derbyshire
Thainstone,Aberdeenshire
Ethie Haven,Angus
Barby,Northamptonshire
Sonning,Wokingham
Llanycefn,Pembrokeshire
Buttington,Powys
Hollesley,Suffolk
